date,gdelt_goldstein,gdelt_tone,gdelt_conflict_cnt,gdelt_coop_cnt,gdelt_mentions,gdelt_conflict_intensity
2022-09-29,0.9206515058389674,-2.4497978020121174,386,1241,8993,-5.810027855153204
2022-09-30,1.048270893371758,-2.382505341564384,308,1080,7330,-5.268620689655172
2022-10-03,-0.05245614035087715,-3.7197062485996866,178,392,2533,-6.686792452830187
2022-10-04,0.24168514412416853,-3.0505333530422316,440,913,7348,-5.312807881773399
2022-10-05,-0.5700955180014695,-3.5970330652994082,493,868,6831,-6.843659043659044
2022-10-06,0.29612546125461253,-2.2847071542661506,322,762,6210,-5.744771241830065
2022-10-07,0.24979988564894218,-2.343884956178798,485,1264,10724,-6.231390134529147
2022-10-10,0.5649155722326452,-2.165056620221506,123,410,2565,-6.0103448275862075
2022-10-11,0.10105348460291731,-2.935854657630257,397,837,6767,-5.474798927613941
2022-10-12,0.020540156361051866,-2.470323864819321,439,968,7288,-5.678883495145631
2022-10-13,0.49581111957349583,-2.2288383050693454,366,947,7017,-5.505865102639296
2022-10-14,0.032696715049656266,-3.082799569577264,381,928,7976,-6.43646408839779
2022-10-17,-0.9578606158833063,-3.0551591796035273,233,384,3427,-7.073542600896862
2022-10-18,-0.15826944140197158,-3.0965359549541556,279,634,4590,-5.95189393939394
2022-10-19,0.7207369323050558,-2.9881105535657384,290,877,6003,-5.581021897810218
2022-10-20,0.422744014732965,-2.7449378916514835,317,769,6035,-5.47687074829932
2022-10-21,0.3531302876480542,-2.0825102983253716,323,859,6807,-5.2555183946488295
2022-10-24,0.12082474226804128,-3.5545051861400396,129,356,2219,-6.6463636363636365
2022-10-25,-0.22762148337595908,-3.3472268127517686,384,789,7784,-5.492021276595745
2022-10-26,0.42754934210526313,-2.6630107984841436,325,891,7799,-5.487697160883281
2022-10-27,0.0034220532319391202,-3.1224131529107426,399,916,6957,-6.013756613756613
2022-10-28,0.43268156424581,-2.79711349367883,295,779,5421,-5.670567375886525
2022-10-31,-0.012403100775193772,-3.214201649449188,130,257,2539,-5.3841269841269845
2022-11-01,-0.09633911368015417,-3.142680977398539,355,683,5216,-5.807164179104478
2022-11-02,0.28801399825021873,-2.5645821822810064,332,811,8329,-5.989423076923077
2022-11-03,-0.015635738831615037,-2.9645968532307103,351,813,7796,-5.889285714285714
2022-11-04,-0.013872832369942257,-3.2337254185808653,335,703,5558,-5.548397435897436
2022-11-07,-0.041191066997518594,-2.427649518142419,104,299,2509,-6.726213592233009
2022-11-08,0.8671013039117351,-1.6145845916270323,224,773,5757,-5.7981220657277
2022-11-09,0.3168685121107266,-1.8304939952592332,341,815,6922,-5.662820512820512
2022-11-10,0.010539018503620155,-2.846704959160176,432,811,6735,-5.647146401985112
2022-11-14,0.7063786008230452,-1.959261165147559,118,368,2365,-6.167961165048543
2022-11-15,0.361973018549747,-2.186508794601957,301,885,6192,-5.873571428571428
